StichtagDatJahr,QuarSort,QuarCd,QuarLang,KreisSort,WegOrtSort,WegOrtLang,WegBezirkSort,WegBezirkLang,WegKtSort,WegKtLang,WegLandSort,WegLandLang,WegRegionSort,WegRegionLang,WegKontinentSort,WegKontinentLang,AnzWezuWir
2014,73,073,"Hirslanden",7,249,"Unterengstringen",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,61,061,"Unterstrass",6,249,"Unterengstringen",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",8
2014,51,051,"Gewerbeschule",5,249,"Unterengstringen",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
2014,34,034,"Sihlfeld",3,249,"Unterengstringen",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,115,115,"Oerlikon",11,358,"Stettlen",246,"Verwaltungskreis Bern-Mittelland",2,"Bern / Berne",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,33,033,"Friesenberg",3,249,"Unterengstringen",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,31,031,"Alt-Wiedikon",3,249,"Unterengstringen",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,21,021,"Wollishofen",2,358,"Stettlen",246,"Verwaltungskreis Bern-Mittelland",2,"Bern / Berne",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,51,051,"Gewerbeschule",5,1711,"Zug",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
2014,122,122,"Schwamendingen-Mitte",12,3219,"Untereggen",1722,"Wahlkreis Rorschach",17,"St. Gallen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,34,034,"Sihlfeld",3,3219,"Untereggen",1722,"Wahlkreis Rorschach",17,"St. Gallen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,111,111,"Affoltern",11,1709,"Unterägeri",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,42,042,"Langstrasse",4,4081,"Widen",1903,"Bezirk Bremgarten",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,63,063,"Oberstrass",6,158,"Stäfa",107,"Bezirk Meilen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,123,123,"Hirzenbach",12,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",11
2014,12,012,"Hochschulen",1,2919,"Stetten (SH)",1402,"Bezirk Reiat",14,"Schaffhausen",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,63,063,"Oberstrass",6,1709,"Unterägeri",900,"Kanton Zug",9,"Zug",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,111,111,"Affoltern",11,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",6
2014,92,092,"Altstetten",9,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",9
2014,81,081,"Seefeld",8,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,74,074,"Witikon",7,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,63,063,"Oberstrass",6,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,61,061,"Unterstrass",6,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
